Airport, CitySt, Date, Time, Weather
KAOH,MERCER OHIO,2019-12-10,18:50,KAOH 101850Z AUTO 26015KT 10SM OVC016 M04/M07 A3009 RMK T10401070 MADISHFAOH
KIJD,WINDHAM CONNECTICUT,2019-12-10,04:57,KIJD 100450Z AUTO 21009KT 10SM -RA OVC013 13/12 A2971 RMK P0000 T01300120 MADISHFIJD
KEAR,KEARNEY NEBRASKA,2019-12-10,09:46,KEAR 100940Z AUTO 35010KT 10SM CLR M04/M07 A3011 RMK T10401070 MADISHFEAR
KLUK,MONTGOMERY OHIO,2019-12-10,15:06,KLUK 101500Z AUTO 29011KT 10SM BKN029 M01/M07 A3015 RMK T10101070 MADISHFLUK
KOFP,CAROLINE VIRGINIA,2019-12-10,13:12,KOFP 101310Z AUTO 20009KT 7SM SCT016 BKN022 16/13 A2990 RMK T01600130 MADISHFOFP
KUGN,MCHENRY ILLINOIS,2019-12-10,17:15,KUGN 101720Z AUTO 29008KT 7SM -SN OVC025 M07/M13 A3012 RMK T10701130 WND 26V32  MADISHFUGN
KLBF,LOGAN NEBRASKA,2019-12-10,03:57,KLBF 100350Z AUTO 36004KT 10SM SCT090 BKN110 M04/M08 RMK T10401080 MADISHFLBF
KVSF,WINDSOR VERMONT,2019-12-10,02:51,KVSF 100250Z AUTO 00000KT 3SM RA BR SCT009 OVC047 01/01 A2962 RMK P0005 T00100010 MADISHFVSF
KCVG,KENTON KENTUCKY,2019-12-10,11:01,KCVG 101100Z AUTO ///17KT 10SM BKN015 BKN055 01/M03 A2994 RMK T00101030 MADISHFCVG
KMPO,LEHIGH PENNSYLVANIA,2019-12-10,11:27,KMPO 101120Z AUTO 22009KT 7SM OVC004 08/08 A2971 RMK T00800080 CIG 4V10  MADISHFMPO
KIMT,FLORENCE WISCONSIN,2019-12-10,11:51,KIMT 101150Z AUTO 29005KT 10SM OVC033 M13/M17 A2987 RMK T11301170 MADISHFIMT
KCMX,KEWEENAW MICHIGAN,2019-12-10,21:10,KCMX 102110Z AUTO 28010KT 1SM -SN VV016 M13/M17 A2997 RMK T11301170 MADISHFCMX
KBWI,CARROLL MARYLAND,2019-12-10,20:10,KBWI 102010Z AUTO 26005KT 10SM FEW016 BKN023 OVC031 14/12 A2988 RMK T01400120 MADISHFBWI
KMKC,RANDOLPH MISSOURI,2019-12-10,15:10,KMKC 101510Z AUTO 24005KT 10SM FEW070 M03/M09 A3028 RMK T10301090 MADISHFMKC
KAZO,OTSEGO MICHIGAN,2019-12-10,18:50,KAZO 101850Z AUTO 28014KT 1SM -SN SCT016 BKN025 OVC050 M04/M08 A3007 RMK T10401080 MADISHFAZO
KADG,FAYETTE OHIO,2019-12-10,14:51,KADG 101450Z AUTO 27005KT 1 1/2SM -SN BR OVC028 M03/M05 A2998 RMK P0001 T10301050 MADISHFADG
KCID,MARION IOWA,2019-12-10,12:52,KCID 101250Z AUTO 29011KT 10SM SCT055 OVC070 M13/M17 A3014 RMK T11301170 MADISHFCID
KMNM,MENOMINEE MICHIGAN,2019-12-10,16:10,KMNM 101610Z AUTO 29005KT 10SM CLR M09/M15 A3005 RMK T10901150 MADISHFMNM
KCXY,BERKS PENNSYLVANIA,2019-12-10,15:07,KCXY 101500Z AUTO 00000KT 3SM BR OVC044 11/08 A2982 RMK T01100080 MADISHFCXY
KPAH,MASSAC ILLINOIS,2019-12-10,23:47,KPAH 102340Z AUTO 00000KT 10SM CLR M01/M06 A3037 RMK T10101060 MADISHFPAH
KY50,MARQUETTE WISCONSIN,2019-12-10,16:42,KY50 101640Z AUTO /////KT 9SM -SN FEW011 BKN018 M13/M16 A3013 RMK T11301160 MADISHFY50
KCVG,DELAWARE INDIANA,2019-12-10,06:43,KCVG 100646Z 28016KT 8SM BKN015 OVC020 08/06 A2979 RMK AO2 DZB11E39 P0000CVG
KZZV,PUTNAM OHIO,2019-12-10,10:25,KZZV 101030Z AUTO 25009KT 10SM OVC019 09/04 A2979 RMK T00900040 MADISHFZZV
KSBM,SHEBOYGAN WISCONSIN,2019-12-10,04:40,KSBM 100440Z AUTO 33010KT 10SM BKN021 BKN028 OVC037 M03/M07 A2970 RMK T10301070 MADISHFSBM
KCVG,DELAWARE INDIANA,2019-12-10,11:30,KCVG 101130Z AUTO 28017KT 10SM CLR 01/M03 A2995 RMK T00101030 MADISHFCVG
KCGI,JACKSON MISSOURI,2019-12-10,19:11,KCGI 101910Z AUTO 35004KT 10SM CLR 00/M10 A3032 RMK T00001100 MADISHFCGI
KCMX,BARAGA MICHIGAN,2019-12-10,07:26,KCMX 100720Z AUTO 34011KT 6SM -SN BKN029 OVC035 M12/M16 A2976 RMK T11201160 MADISHFCMX
KY50,MARQUETTE WISCONSIN,2019-12-10,08:02,KY50 100800Z AUTO 30014KT 9SM -SN OVC018 M10/M13 A2988 RMK T11001130 MADISHFY50
KY50,MARQUETTE WISCONSIN,2019-12-10,18:00,KY50 101800Z AUTO 28011KT 10SM SCT023 M11/M17 A3013 RMK T11101170 MADISHFY50
KPHD,TUSCARAWAS OHIO,2019-12-10,19:40,KPHD 101940Z AUTO 28009KT 10SM OVC026 M02/M06 A3004 RMK T10201060 MADISHFPHD
KSTJ,NODAWAY MISSOURI,2019-12-10,04:47,KSTJ 100440Z AUTO 23004KT 10SM CLR M08/M12 A3017 RMK T10801120 MADISHFSTJ
KRFD,WINNEBAGO ILLINOIS,2019-12-10,21:57,KRFD 102150Z AUTO 27011KT 10SM CLR M07/M16 A3023 RMK T10701160 MADISHFRFD
KY50,MARQUETTE WISCONSIN,2019-12-10,15:16,KY50 101510Z AUTO 31009KT 10SM OVC018 M11/M16 A3011 RMK T11101160 MADISHFY50
KHTL,ALGER MICHIGAN,2019-12-10,05:13,KHTL 100516Z AUTO 32011G22KT 3SM -SN BR BKN014 OVC021 M03/M05 A2953 RMK AO2 P0000 T10281050HTL
KCSG,COLBERT ALABAMA,2019-12-10,16:51,KCSG 101650Z AUTO 24015KT 10SM BKN029 BKN037 BKN090 24/17 A3002 RMK T02400170 MADISHFCSG
KMNM,MENOMINEE MICHIGAN,2019-12-10,10:05,KMNM 101010Z AUTO 33009KT 2 1/2SM -SN FEW009 OVC035 M09/M13 A2989 RMK AO2 SNB0957 P0000 FZRANO $MNM
KHFD,HARTFORD CONNECTICUT,2019-12-10,02:32,KHFD 100230Z AUTO 20013KT 10SM -RA OVC014 13/12 A2971 RMK P0002 T01300120 MADISHFHFD
KVPZ,PORTER INDIANA,2019-12-10,20:05,KVPZ 102010Z AUTO 26011KT 10SM CLR M05/M14 A3019 RMK T10501140 MADISHFVPZ
KMTW,KEWAUNEE WISCONSIN,2019-12-10,11:22,KMTW 101120Z AUTO 29014KT 6SM -SN BR FEW015 BKN035 OVC055 M09/M11 A2993 RMK T10901110 MADISHFMTW
KMSN,VILAS WISCONSIN,2019-12-10,16:30,KMSN 101630Z AUTO 29010KT 10SM BKN016 M11/M16 A3014 RMK T11101160 MADISHFMSN
KIMT,FLORENCE WISCONSIN,2019-12-10,22:22,KIMT 102220Z AUTO 28009KT 9SM OVC031 M13/M18 RMK T11301180 MADISHFIMT
KJLN,SCOTLAND MISSOURI,2019-12-10,15:52,KJLN 101550Z AUTO 22002G17KT 10SM CLR M02/M09 A3032 RMK T10201090 MADISHFJLN
KPOF,BUCHANAN MISSOURI,2019-12-10,04:36,KPOF 100430Z AUTO 32016KT 10SM FEW022 FEW027 OVC100 05/M02 A2997 RMK T00501020 MADISHFPOF
KMNM,MENOMINEE MICHIGAN,2019-12-10,08:35,KMNM 100840Z AUTO 32005KT 10SM SCT070 OVC095 M08/M12 A2984 RMK T10801120 MADISHFMNM
KAZO,OTSEGO MICHIGAN,2019-12-10,20:20,KAZO 102020Z AUTO 25010KT 1SM -SN BKN016 BKN025 OVC030 M05/M08 A3011 RMK T10501080 MADISHFAZO
KOFP,CAROLINE VIRGINIA,2019-12-10,15:00,KOFP 101500Z AUTO 21011G16KT 9SM SCT021 18/13 A2990 RMK T01800130 MADISHFOFP
KVSF,WINDSOR VERMONT,2019-12-10,06:26,KVSF 100620Z AUTO 00000KT 5SM BR FEW003 BKN029 OVC033 02/01 A2960 RMK T00200010 MADISHFVSF
KBTV,ESSEX VERMONT,2019-12-10,12:36,KBTV 101230Z AUTO 18014KT 10SM FEW011 OVC048 10/07 A2955 RMK T01000070 MADISHFBTV
KENW,KENOSHA WISCONSIN,2019-12-10,10:27,KENW 101020Z AUTO 29013G18KT 10SM OVC018 M04/M08 A2990 RMK T10401080 MADISHFENW
KZZV,PUTNAM OHIO,2019-12-10,09:06,KZZV 100900Z AUTO 27005KT 10SM FEW018 FEW022 OVC042 11/07 A2973 RMK T01100070 MADISHFZZV
KLNK,LINCOLN NEBRASKA,2019-12-10,15:37,KLNK 101530Z AUTO 31009KT 9SM FEW025 OVC030 M06/M10 A3032 RMK T10601100 MADISHFLNK
KCGI,JACKSON MISSOURI,2019-12-10,07:46,KCGI 100740Z AUTO 34015KT 10SM CLR 01/M06 A3007 RMK T00101060 MADISHFCGI
KRWF,REDWOOD MINNESOTA,2019-12-10,08:17,KRWF 100810Z AUTO 28002KT 10SM OVC100 M17/M21 A3005 RMK T11701210 MADISHFRWF
KCGI,JACKSON MISSOURI,2019-12-10,10:20,KCGI 101020Z AUTO 35011G17KT 10SM CLR M01/M08 A3012 RMK T10101080 MADISHFCGI
KLNK,LINCOLN NEBRASKA,2019-12-10,22:40,KLNK 102240Z AUTO 31005KT 10SM CLR M05/M14 A3035 RMK T10501140 MADISHFLNK
KCGI,JACKSON MISSOURI,2019-12-10,19:21,KCGI 101920Z AUTO 35005KT 10SM CLR 00/M09 A3031 RMK T00001090 MADISHFCGI
KZZV,PUTNAM OHIO,2019-12-10,23:05,KZZV 102310Z AUTO 26007KT 10SM OVC023 M02/M08 A3020 RMK T10201080 MADISHFZZV
KABE,NORTHAMPTON PENNSYLVANIA,2019-12-10,07:45,KABE 100750Z AUTO 23005KT 10SM OVC013 12/09 A2975 RMK T01200090 MADISHFABE
KCGI,JACKSON MISSOURI,2019-12-10,10:57,KCGI 101050Z AUTO 34011KT 10SM CLR M01/M09 A3017 RMK T10101090 MADISHFCGI
KGLD,WALLACE KANSAS,2019-12-10,18:31,KGLD 101830Z AUTO 08007KT 10SM FEW070 SCT079 BKN110 01/M06 A3021 RMK T00101060 MADISHFGLD
KEAU,CHIPPEWA WISCONSIN,2019-12-10,23:25,KEAU 102330Z AUTO 23004KT 10SM CLR M18/M22 A3020 RMK T11801220 MADISHFEAU
KMBL,MANISTEE MICHIGAN,2019-12-10,22:57,KMBL 102250Z AUTO 24005KT 10SM BKN029 M08/M12 A3013 RMK T10801120 MADISHFMBL
KMHK,RILEY KANSAS,2019-12-10,12:16,KMHK 101210Z AUTO 00000KT 10SM CLR M09/M12 A3020 RMK T10901120 MADISHFMHK
KCGI,JACKSON MISSOURI,2019-12-10,17:32,KCGI 101730Z AUTO 31005KT 10SM CLR M01/M10 A3034 RMK T10101100 MADISHFCGI
KLBF,LOGAN NEBRASKA,2019-12-10,19:30,KLBF 101930Z AUTO 24010KT 10SM CLR 01/M07 RMK T00101070 MADISHFLBF
KHZY,MADISON OHIO,2019-12-10,06:31,KHZY 100630Z AUTO ///19KT 10SM BKN030 BKN036 OVC046 11/06 A2962 RMK T01100060 MADISHFHZY
KCGI,JACKSON MISSOURI,2019-12-10,23:37,KCGI 102330Z AUTO 00000KT 10SM CLR M01/M06 A3037 RMK T10101060 MADISHFCGI
KAOH,MERCER OHIO,2019-12-10,09:57,KAOH 100950Z AUTO 27017KT 10SM OVC011 M01/M03 A2984 RMK T10101030 MADISHFAOH
KHZY,MADISON OHIO,2019-12-10,08:10,KHZY 100810Z AUTO 27016KT 10SM BKN028 OVC033 09/05 A2965 RMK T00900050 MADISHFHZY
KHZY,MADISON OHIO,2019-12-10,11:05,KHZY 101110Z AUTO 27014KT 10SM SCT018 OVC025 04/01 A2975 RMK T00400010 MADISHFHZY
KCGI,JACKSON MISSOURI,2019-12-10,11:15,KCGI 101120Z AUTO 34008KT 10SM CLR M01/M08 A3019 RMK T10101080 MADISHFCGI
KJLN,SCOTLAND MISSOURI,2019-12-10,14:01,KJLN 101400Z AUTO 26002KT 10SM CLR M04/M08 A3028 RMK T10401080 MADISHFJLN
KRSL,CHEYENNE KANSAS,2019-12-10,14:47,KRSL 101440Z AUTO 02002KT 10SM BKN120 M04/M08 A3027 RMK T10401080 MADISHFRSL
KAZO,KALAMAZOO MICHIGAN,2019-12-10,03:11,KAZO 100310Z AUTO 27016G24KT 10SM OVC016 03/M01 A2960 RMK T00301010 MADISHFAZO
KHAO,ROSS OHIO,2019-12-10,01:06,KHAO 100100Z AUTO 23009G17KT 10SM BKN016 BKN023 OVC029 14/13 A2963 RMK T01400130 MADISHFHAO
KROA,ROCKINGHAM VIRGINIA,2019-12-10,11:00,KROA 101100Z AUTO 00000KT 1/2SM FG VV002 06/06 A2990 RMK T00600060 MADISHFROA
KIMT,FLORENCE WISCONSIN,2019-12-10,18:30,KIMT 101830Z AUTO 27007KT 8SM FEW022 SCT030 BKN037 M12/M17 RMK T11201170 MADISHFIMT
KPAH,MASSAC ILLINOIS,2019-12-10,17:10,KPAH 101710Z AUTO 32004KT 10SM CLR 00/M09 A3029 RMK T00001090 MADISHFPAH
KMLC,KIOWA OKLAHOMA,2019-12-10,11:37,KMLC 101130Z AUTO 01008KT 10SM CLR 00/M07 A3022 RMK T00001070 MADISHFMLC
KHZY,MADISON OHIO,2019-12-10,16:16,KHZY 101610Z AUTO 24015KT 10SM BKN025 OVC032 01/M03 A2995 RMK T00101030 MADISHFHZY
KDKK,CATTARAUGUS NEW YORK,2019-12-10,13:50,KDKK 101350Z AUTO 25013KT 10SM OVC030 06/M01 A2978 RMK T00601010 MADISHFDKK
KFOD,JONES IOWA,2019-12-10,18:26,KFOD 101820Z AUTO 30009KT 10SM BKN015 BKN023 M09/M14 A3029 RMK T10901140 MADISHFFOD
KBWI,CARROLL MARYLAND,2019-12-10,15:51,KBWI 101550Z AUTO 22007KT 5SM -RA BR BKN014 BKN079 OVC100 14/13 A2985 RMK P0001 T01400130 MADISHFBWI
KDUJ,CLARION PENNSYLVANIA,2019-12-10,07:36,KDUJ 100730Z AUTO 24014KT 10SM BKN009 OVC016 11/09 A2962 RMK T01100090 MADISHFDUJ
KLBF,LOGAN NEBRASKA,2019-12-10,01:20,KLBF 100120Z AUTO 00000KT 10SM BKN090 OVC110 M05/M11 RMK T10501110 MADISHFLBF
KDHT,HARTLEY TEXAS,2019-12-10,16:35,KDHT 101640Z AUTO 21013KT 10SM CLR 04/M09 RMK T00401090 MADISHFDHT
KMTW,KEWAUNEE WISCONSIN,2019-12-10,04:40,KMTW 100440Z AUTO 32011KT 10SM BKN023 OVC046 M04/M08 A2971 RMK T10401080 MADISHFMTW
KMSN,VILAS WISCONSIN,2019-12-10,20:32,KMSN 102030Z AUTO 29008KT 10SM FEW070 M08/M18 A3014 RMK T10801180 MADISHFMSN
KODX,LOUP NEBRASKA,2019-12-10,16:30,KODX 101630Z AUTO 33015KT 10SM CLR M09/M14 A3029 RMK T10901140 MADISHFODX
KMNM,MENOMINEE MICHIGAN,2019-12-10,19:31,KMNM 101930Z AUTO 26007KT 10SM BKN100 M08/M16 A3006 RMK T10801160 MADISHFMNM
KMSN,DOOR WISCONSIN,2019-12-10,06:20,KMSN 100620Z AUTO 31009KT 10SM OVC018 M07/M11 A2982 RMK T10701110 MADISHFMSN
KMNM,MENOMINEE MICHIGAN,2019-12-10,01:06,KMNM 100100Z AUTO 34011KT 3SM -SN BR SCT011 BKN016 OVC026 M04/M06 A2954 RMK T10401060 MADISHFMNM
KHTL,ALGER MICHIGAN,2019-12-10,16:05,KHTL 101610Z AUTO 29011KT 9SM OVC022 M07/M12 A2995 RMK T10701120 MADISHFHTL
KRAC,RACINE WISCONSIN,2019-12-10,02:56,KRAC 100250Z AUTO 29017G22KT 10SM OVC018 M02/M06 A2967 RMK T10201060 MADISHFRAC
KAOH,MERCER OHIO,2019-12-10,18:30,KAOH 101830Z AUTO 26014KT 10SM OVC015 M04/M07 A3009 RMK T10401070 MADISHFAOH
KMFD,BUTLER OHIO,2019-12-10,12:10,KMFD 101210Z AUTO 27010KT 10SM OVC009 M01/M02 A2985 RMK T10101020 CIG 8V12  MADISHFMFD
KMFD,SHELBY OHIO,2019-12-10,06:56,KMFD 100650Z AUTO 25013KT 10SM SCT016 BKN022 OVC039 09/07 A2965 RMK T00900070 MADISHFMFD
KLBF,LOGAN NEBRASKA,2019-12-10,01:15,KLBF 100120Z AUTO 00000KT 10SM BKN090 OVC110 M05/M11 RMK T10501110 MADISHFLBF
KMML,COTTONWOOD MINNESOTA,2019-12-10,13:06,KMML 101300Z AUTO 35011KT 8SM -SN OVC030 M16/M19 A3019 RMK T11601190 MADISHFMML
KIRK,CLAY MISSOURI,2019-12-10,11:05,KIRK 101110Z AUTO 27005KT 10SM FEW079 M09/M12 A3015 RMK T10901120 MADISHFIRK
KAPN,ALPENA MICHIGAN,2019-12-10,10:25,KAPN 101030Z AUTO 30009G17KT 3SM -SN FEW026 OVC033 M06/M09 A2971 RMK T10601090 WND 25V33  MADISHFAPN
KHZY,MADISON OHIO,2019-12-10,09:51,KHZY 100950Z AUTO ///18KT 10SM SCT016 BKN022 OVC031 06/03 A2970 RMK T00600030 MADISHFHZY
KY50,MARQUETTE WISCONSIN,2019-12-10,16:42,KY50 101640Z AUTO /////KT 9SM -SN FEW011 BKN018 M13/M16 A3013 RMK T11301160 MADISHFY50
KSLN,BARTON KANSAS,2019-12-10,05:47,KSLN 100540Z AUTO 20004KT 10SM CLR M09/M13 RMK T10901130 MADISHFSLN
KGRB,ONEIDA WISCONSIN,2019-12-10,16:37,KGRB 101630Z AUTO 27013KT 10SM CLR M12/M17 A3010 RMK T11201170 MADISHFGRB
KADG,FAYETTE OHIO,2019-12-10,04:36,KADG 100430Z AUTO 26015G22KT 10SM FEW025 BKN031 OVC050 08/04 A2957 RMK T00800040 MADISHFADG
KEWK,SEDGWICK KANSAS,2019-12-10,22:25,KEWK 102230Z AUTO 01004KT 10SM SCT090 OVC110 01/M09 A3035 RMK T00101090 MADISHFEWK
KFDK,FREDERICK MARYLAND,2019-12-10,06:47,KFDK 100640Z AUTO 20007KT 10SM SCT011 10/09 A2977 RMK AO2FDK
KZZV,PUTNAM OHIO,2019-12-10,13:37,KZZV 101330Z AUTO 29011KT 10SM BKN021 03/M02 A2992 RMK T00301020 MADISHFZZV
KROA,ROCKINGHAM VIRGINIA,2019-12-10,07:11,KROA 100710Z AUTO 00000KT 1SM BR BKN004 06/05 A2992 RMK T00600050 MADISHFROA
KRSL,CHEYENNE KANSAS,2019-12-10,09:15,KRSL 100920Z AUTO 23010KT 10SM CLR M07/M11 A3012 RMK T10701110 MADISHFRSL
KLUK,MONTGOMERY OHIO,2019-12-10,13:52,KLUK 101350Z AUTO 28017KT 10SM SCT025 BKN033 00/M08 A3012 RMK T00001080 MADISHFLUK
KLBF,LOGAN NEBRASKA,2019-12-10,08:57,KLBF 100850Z AUTO 33005KT 10SM CLR M04/M08 RMK T10401080 MADISHFLBF
KLYH,BEDFORD VIRGINIA,2019-12-10,06:40,KLYH 100640Z AUTO 22005KT 10SM OVC008 10/09 A2990 RMK T01000090 CIG 6V12  MADISHFLYH
KLBF,LOGAN NEBRASKA,2019-12-10,16:35,KLBF 101640Z AUTO 00000KT 10SM CLR M04/M10 RMK T10401100 MADISHFLBF
KZZV,LICKING OHIO,2019-12-10,22:22,KZZV 102220Z AUTO 27009KT 10SM OVC022 M02/M08 A3020 RMK T10201080 MADISHFZZV
KABE,NORTHAMPTON PENNSYLVANIA,2019-12-10,07:16,KABE 100710Z AUTO 22010KT 10SM OVC012 12/09 A2973 RMK T01200090 MADISHFABE
KPOF,BUCHANAN MISSOURI,2019-12-10,05:47,KPOF 100540Z AUTO 32011KT 10SM FEW060 SCT075 OVC090 03/M03 A3003 RMK T00301030 MADISHFPOF
KBWI,CARROLL MARYLAND,2019-12-10,18:21,KBWI 101820Z AUTO 24007KT 4SM -RA BR BKN012 BKN025 OVC036 14/13 A2985 RMK T01400130 MADISHFBWI
KABE,NORTHAMPTON PENNSYLVANIA,2019-12-10,23:15,KABE 102320Z AUTO 27008KT 10SM FEW065 OVC090 09/03 A2997 RMK T00900030 MADISHFABE
KAOH,MERCER OHIO,2019-12-10,23:05,KAOH 102310Z AUTO 26010KT 10SM CLR M05/M11 A3021 RMK T10501110 MADISHFAOH
KMPO,LEHIGH PENNSYLVANIA,2019-12-10,18:42,KMPO 101840Z AUTO 25013KT 6SM -RA BR BKN008 BKN015 OVC030 08/08 A2977 RMK P0003 T00800080 CIG 6V11  MADISHFMPO
KCGI,JACKSON MISSOURI,2019-12-10,17:27,KCGI 101720Z AUTO 34008KT 10SM CLR M01/M10 A3034 RMK T10101100 MADISHFCGI
KEAU,CHIPPEWA WISCONSIN,2019-12-10,01:40,KEAU 100140Z AUTO 31009KT 10SM OVC055 M10/M14 A2978 RMK T11001140 MADISHFEAU
KLWD,SALINE MISSOURI,2019-12-10,22:22,KLWD 102220Z AUTO 30007KT 10SM SCT035 M06/M13 A3031 RMK T10601130 MADISHFLWD
KMUI,LEBANON PENNSYLVANIA,2019-12-10,01:48,KMUI 100156Z 22007KT 4SM -RA BR OVC009 09/08 A2975 RMK AO2A RAB32 SLP079 P0001 T00850084MUI
KYNG,WARREN OHIO,2019-12-10,12:16,KYNG 101210Z AUTO 27015KT 10SM BKN019 OVC024 05/01 A2977 RMK T00500010 MADISHFYNG
KRAC,RACINE WISCONSIN,2019-12-10,04:40,KRAC 100440Z AUTO 29008KT 10SM OVC021 M03/M07 A2975 RMK T10301070 MADISHFRAC
KLBF,LOGAN NEBRASKA,2019-12-10,15:07,KLBF 101500Z AUTO 00000KT 10SM SCT100 M07/M11 RMK T10701110 MADISHFLBF
KJLN,SHERMAN KANSAS,2019-12-10,01:40,KJLN 100140Z AUTO 33011KT 10SM CLR M01/M08 A3009 RMK T10101080 MADISHFJLN
KLNK,LINCOLN NEBRASKA,2019-12-10,10:36,KLNK 101030Z AUTO 00000KT 10SM BKN044 BKN065 M06/M09 A3015 RMK T10601090 MADISHFLNK
KMIW,UNION IOWA,2019-12-10,14:31,KMIW 101430Z AUTO 33005KT 6SM HZ SCT025 OVC030 M11/M13 A3020 RMK T11101130 MADISHFMIW
KMIW,UNION IOWA,2019-12-10,23:57,KMIW 102350Z AUTO 27004KT 10SM CLR M14/M16 A3030 RMK T11401160 MADISHFMIW
KSET,KANE ILLINOIS,2019-12-10,15:30,KSET 101530Z AUTO /////KT A3029 RMK MADISHFSET
KDFI,PAULDING OHIO,2019-12-10,10:22,KDFI 101020Z AUTO 25008KT 10SM OVC016 M01/M04 A2984 RMK T10101040 MADISHFDFI
KROA,BOTETOURT VIRGINIA,2019-12-10,21:51,KROA 102150Z AUTO 30011KT 10SM SCT029 OVC070 10/04 A3004 RMK T01000040 MADISHFROA
KRIC,RICHMOND VIRGINIA,2019-12-10,10:57,KRIC 101050Z AUTO 21010KT 10SM OVC015 14/13 A2988 RMK T01400130 MADISHFRIC
KFOD,JONES IOWA,2019-12-10,20:10,KFOD 102010Z AUTO 29008KT 10SM BKN021 BKN027 M10/M16 A3029 RMK T11001160 MADISHFFOD
KLUK,MONTGOMERY OHIO,2019-12-10,21:36,KLUK 102130Z AUTO 26009KT 10SM FEW030 M02/M10 A3029 RMK T10201100 MADISHFLUK
KCXY,BERKS PENNSYLVANIA,2019-12-10,12:57,KCXY 101250Z AUTO 25005KT 10SM SCT048 SCT055 OVC070 12/09 A2979 RMK T01200090 MADISHFCXY
KLNK,LINCOLN NEBRASKA,2019-12-10,06:56,KLNK 100650Z AUTO 18004KT 10SM CLR M10/M13 A3010 RMK T11001130 MADISHFLNK
KEAR,KEARNEY NEBRASKA,2019-12-10,08:20,KEAR 100820Z AUTO 30007KT 10SM CLR M05/M08 A3009 RMK T10501080 MADISHFEAR
KYNG,WARREN OHIO,2019-12-10,21:52,KYNG 102150Z AUTO 26011G17KT 6SM -FZDZ -SN BKN012 OVC019 M02/M05 A3007 RMK T10201050 MADISHFYNG
KAPN,ALPENA MICHIGAN,2019-12-10,10:16,KAPN 101010Z AUTO 28010G19KT 9SM OVC032 M06/M09 A2970 RMK T10601090 WND 25V31  MADISHFAPN
KBKL,HENRY OHIO,2019-12-10,10:37,KBKL 101030Z AUTO 26021KT 10SM BKN021 OVC026 04/00 A2976 RMK T00400000 MADISHFBKL
KHSI,BLAINE NEBRASKA,2019-12-10,20:40,KHSI 102040Z AUTO 27007KT 10SM CLR M03/M12 A3028 RMK T10301120 WND 25V32  MADISHFHSI
KLEX,CARLISLE KENTUCKY,2019-12-10,15:37,KLEX 101530Z AUTO 29014KT 10SM BKN085 OVC110 00/M08 A3015 RMK T00001080 MADISHFLEX
KIRK,CLAY MISSOURI,2019-12-10,17:01,KIRK 101700Z AUTO 26004KT 10SM CLR M03/M09 A3027 RMK T10301090 MADISHFIRK
KDDC,FORD KANSAS,2019-12-10,20:45,KDDC 102050Z AUTO 10005KT 10SM CLR 06/M07 A3023 RMK T00601070 MADISHFDDC
KY50,MARQUETTE WISCONSIN,2019-12-10,17:05,KY50 101710Z AUTO 28010KT 9SM -SN OVC016 M11/M16 A3013 RMK T11101160 MADISHFY50
KGCC,WESTON WYOMING,2019-12-10,11:37,KGCC 101130Z AUTO 16004KT 10SM OVC045 M16/M17 A3005 RMK T11601170 MADISHFGCC
KMKC,RANDOLPH MISSOURI,2019-12-10,13:41,KMKC 101340Z AUTO 22004KT 10SM BKN065 M07/M11 A3025 RMK T10701110 MADISHFMKC
KAPN,ALPENA MICHIGAN,2019-12-10,17:56,KAPN 101750Z AUTO 31005KT 10SM OVC037 M07/M14 A2996 RMK T10701140 VRB06KT  MADISHFAPN
KMKE,MILWAUKEE WISCONSIN,2019-12-10,06:32,KMKE 100630Z AUTO 29014KT 10SM OVC023 M03/M08 A2979 RMK T10301080 MADISHFMKE
KY50,MARQUETTE WISCONSIN,2019-12-10,04:29,KY50 100438Z AUTO 28018G23KT 9SM -SN BKN014 OVC021 M07/M09 A2979 RMK AO2 P0000 FZRANO $Y50
KAWM,TIPTON TENNESSEE,2019-12-10,23:15,KAWM 102320Z AUTO 34004KT 10SM CLR 02/M04 A3038 RMK T00201040 MADISHFAWM
KEAU,DUNN WISCONSIN,2019-12-10,13:40,KEAU 101340Z AUTO 25005KT 9SM SCT095 M21/M24 A3010 RMK T12101240 MADISHFEAU
KLWD,DECATUR IOWA,2019-12-10,23:36,KLWD 102330Z AUTO 34002KT 10SM CLR M08/M13 A3032 RMK T10801130 MADISHFLWD
KMFD,BUTLER OHIO,2019-12-10,20:47,KMFD 102040Z AUTO 24009KT 10SM OVC013 M03/M06 A3010 RMK T10301060 MADISHFMFD
KBKL,ERIE OHIO,2019-12-10,22:56,KBKL 102250Z AUTO 23017KT 10SM FEW026 SCT033 OVC060 M01/M07 A3015 RMK T10101070 MADISHFBKL
KY50,MARQUETTE WISCONSIN,2019-12-10,01:00,KY50 100100Z AUTO 30011KT 10SM OVC018 M04/M06 A2961 RMK T10401060 MADISHFY50
KHZY,MADISON OHIO,2019-12-10,08:50,KHZY 100850Z AUTO ///18KT 10SM BKN027 OVC033 08/04 A2967 RMK T00800040 MADISHFHZY
KMFD,BUTLER OHIO,2019-12-10,18:57,KMFD 101850Z AUTO 25011KT 10SM OVC012 M03/M06 A3004 RMK T10301060 MADISHFMFD
KZZV,PUTNAM OHIO,2019-12-10,14:05,KZZV 101410Z AUTO 28011KT 10SM OVC019 02/M02 A2997 RMK T00201020 MADISHFZZV
