Airport, CitySt, Weather, Time
KEST,EMMET IOWA,KEST 180800Z AUTO 04003KT 10SM CLR M16/M17 A3011 RMK T11601170 MADISHFEST,08:00
KBRL,KOSSUTH IOWA,KBRL 180800Z AUTO 35006KT 10SM OVC024 M02/M06 A3013 RMK T10201060 MADISHFBRL,08:00
KMSN,PIERCE WISCONSIN,KMSN 272000Z AUTO 09003KT 10SM CLR M16/M25 A3004 RMK T11601250 MADISHFMSN,20:00
KMFD,SHELBY OHIO,KMFD 192100Z AUTO ///15KT 1/2SM SN FZFG OVC007 M03/M04 A2970 RMK P0000 T10301040 MADISHFMFD,21:00
KDAY,UNION OHIO,KDAY 192100Z AUTO 02019KT 2SM -RA BR OVC004 01/M01 A2963 RMK T00101010 MADISHFDAY,21:00
KPOF,PULASKI MISSOURI,KPOF 111400Z AUTO 08005KT 6SM UP FEW060 OVC090 M01/M04 A3034 RMK P0000 T10101040 MADISHFPOF,14:00
KCOU,CLARK MISSOURI,KCOU 181500Z AUTO 11006KT 2 1/2SM BR OVC003 01/01 A3006 RMK T00100010 MADISHFCOU,15:00
KCWI,CLINTON IOWA,KCWI 220900Z AUTO 12013KT 10SM SCT065 M09/M12 A3013 RMK T10901120 MADISHFCWI,09:00
KEWK,SEDGWICK KANSAS,KEWK 190850Z AUTO 07009KT 10SM OVC110 M07/M08 A3040 RMK T10701080 MADISHFEWK,08:50
KAMW,STORY IOWA,KAMW 221500Z AUTO 10005KT 2SM BR OVC004 M04/M05 A2993 RMK T10401050 MADISHFAMW,15:00
KALO,BUTLER IOWA,KALO 221600Z AUTO 13007KT 1 1/2SM BR OVC006 M05/M06 A2995 RMK T10501060 MADISHFALO,16:00
KEST,EMMET IOWA,KEST 271700Z AUTO 15010KT 10SM OVC050 M19/M21 A3000 RMK T11901210 MADISHFEST,17:00
KUCP,MERCER PENNSYLVANIA,KUCP 181310Z AUTO 27005KT 5SM -RA BR OVC004 01/00 A3004 RMK T00100000 MADISHFUCP,13:10
KDUJ,CLARION PENNSYLVANIA,KDUJ 181310Z AUTO 26006KT 1SM -SN BR OVC003 M02/M03 A2995 RMK T10201030 MADISHFDUJ,13:10
KSET,CARROLL ILLINOIS,KSET 181200Z AUTO 10003KT 6SM BR BKN015 OVC026 01/00 A3012 RMK T00100000 MADISHFSET,12:00
KMPV,ORANGE VERMONT,KMPV 081900Z AUTO 15004KT 10SM BKN009 OVC016 M02/M04 A2985 RMK T10201040 VRB04KT  MADISHFMPV,19:00
KVSF,WINDSOR VERMONT,KVSF 081900Z AUTO 00000KT 10SM OVC007 M02/M03 A2987 RMK T10201030 MADISHFVSF,19:00
KJST,CAMBRIA PENNSYLVANIA,KJST 191300Z AUTO 14005KT 9SM OVC015 M02/M04 A3004 RMK T10201040 MADISHFJST,13:00
KJST,SOMERSET PENNSYLVANIA,KJST 191300Z AUTO 14005KT 9SM OVC015 M02/M04 A3004 RMK T10201040 MADISHFJST,13:00
KAOO,BEDFORD PENNSYLVANIA,KAOO 191300Z AUTO 13004KT 9SM M01/M04 A3012 RMK T10101040 MADISHFAOO,13:00
KGRR,NEWAYGO MICHIGAN,KGRR 290100Z AUTO 01004KT 2SM -SN BR OVC011 M09/M11 A2954 RMK P0000 T10901110 MADISHFGRR,01:00
KBRL,KOSSUTH IOWA,KBRL 271700Z AUTO 10003KT 10SM SCT009 BKN079 OVC095 M13/M17 A3015 RMK T11301170 MADISHFBRL,17:00
KFOD,HUMBOLDT IOWA,KFOD 271700Z AUTO 18007KT 9SM -SN OVC045 M15/M19 A3006 RMK T11501190 MADISHFFOD,17:00
KPHF,CARROLL VIRGINIA,KPHF 121100Z AUTO 07004KT 10SM UP FEW120 00/M05 A3048 RMK P0000 T00001050 MADISHFPHF,11:00
KBTP,BUTLER PENNSYLVANIA,KBTP 181310Z AUTO 27004KT 1SM -SN BR OVC003 01/00 A3002 RMK T00100000 MADISHFBTP,13:10
KUCP,ARMSTRONG PENNSYLVANIA,KUCP 181310Z AUTO 27005KT 5SM -RA BR OVC004 01/00 A3004 RMK T00100000 MADISHFUCP,13:10
KAGC,LAWRENCE PENNSYLVANIA,KAGC 181310Z AUTO 27007KT 3SM -SN BR OVC004 01/01 A3002 RMK T00100010 MADISHFAGC,13:10
KCMX,KEWEENAW MICHIGAN,KCMX 240500Z AUTO 00000KT 8SM -SN SCT014 OVC040 M08/M11 A2969 RMK AO2 P0000 T10781106CMX,05:00
KUCP,COLUMBIANA OHIO,KUCP 181310Z AUTO 27005KT 5SM -RA BR OVC004 01/00 A3004 RMK T00100000 MADISHFUCP,13:10
KLHQ,CARROLL OHIO,KLHQ 181310Z AUTO 30007KT 5SM BR OVC016 01/M01 A3011 RMK T00101010 MADISHFLHQ,13:10
KCVG,HARRISON OHIO,KCVG 181310Z AUTO 30006KT 9SM OVC009 01/M01 A3012 RMK T00101010 MADISHFCVG,13:10
KSET,CARROLL ILLINOIS,KSET 221000Z AUTO 12013KT 10SM OVC039 M03/M08 A3012 RMK T10301080 MADISHFSET,10:00
KEVV,JOHNSON INDIANA,KEVV 190530Z AUTO 08009KT 10SM OVC033 04/03 A2988 RMK T00400030 MADISHFEVV,05:30
KBWI,CARROLL MARYLAND,KBWI 200700Z AUTO 00000KT 10SM CLR 01/M09 A3060 RMK T00101090 MADISHFBWI,07:00
KIOW,BUCHANAN IOWA,KIOW 181200Z AUTO 28005KT 10SM OVC014 M05/M08 A3014 RMK T10501080 MADISHFIOW,12:00
KAZO,KALAMAZOO MICHIGAN,KAZO 290100Z AUTO 25018KT 6SM BR BKN009 OVC014 M04/M07 A2957 RMK T10401070 CIG 8V12  MADISHFAZO,01:00
KBLF,BLAND VIRGINIA,KBLF 121120Z AUTO 14005KT 10SM SCT015 OVC043 M02/M08 A3029 RMK T10201080 VRB05KT  MADISHFBLF,11:15
KPHD,TUSCARAWAS OHIO,KPHD 181310Z AUTO 30004KT 7SM OVC011 01/M01 A3007 RMK T00101010 MADISHFPHD,13:10
KDBQ,DUBUQUE IOWA,KDBQ 181200Z AUTO 00000KT 10SM OVC015 M06/M09 A3010 RMK T10601090 MADISHFDBQ,12:00
KFOD,JONES IOWA,KFOD 181500Z AUTO 07011KT 10SM BKN090 OVC110 M08/M11 A3010 RMK T10801110 MADISHFFOD,15:00
KCMI,CHAMPAIGN ILLINOIS,KCMI 190200Z AUTO 08010KT 6SM BR OVC023 01/M01 A3004 RMK T00101010 MADISHFCMI,02:00
KCWI,FULTON ILLINOIS,KCWI 182320Z AUTO 07014KT 10SM OVC012 M04/M06 A3009 RMK T10401060 MADISHFCWI,23:15
KCID,MARION IOWA,KCID 181500Z AUTO 05007KT 10SM BKN015 OVC095 M07/M09 A3012 RMK T10701090 MADISHFCID,15:00
KDKK,CATTARAUGUS NEW YORK,KDKK 191100Z AUTO 05008KT 2 1/2SM -SN OVC030 M05/M08 A3020 RMK T10501080 MADISHFDKK,11:00
KHTL,ALGER MICHIGAN,KHTL 241400Z AUTO 24005KT 10SM OVC032 M07/M10 A2969 RMK T10701100 MADISHFHTL,14:00
KHUF,MARSHALL ILLINOIS,KHUF 190100Z AUTO 10009KT 10SM BKN016 OVC021 02/M01 A3005 RMK T00201010 MADISHFHUF,01:00
KCMX,ONTONAGON MICHIGAN,KCMX 120700Z AUTO 11012KT 10SM CLR M08/M12 A3012 RMK T10801120 MADISHFCMX,07:00
KSTJ,NODAWAY MISSOURI,KSTJ 192220Z AUTO 10013KT 8SM BKN110 M02/M06 A3026 RMK T10201060 MADISHFSTJ,22:15
KHTL,ALGER MICHIGAN,KHTL 121000Z AUTO 08016G22KT 10SM OVC023 M06/M09 A2995 RMK T10601090 MADISHFHTL,10:00
KMNM,MENOMINEE MICHIGAN,KMNM 120400Z AUTO 09011KT 10SM OVC016 M03/M06 A3015 RMK T10301060 MADISHFMNM,04:00
KPKD,HUBBARD MINNESOTA,KPKD 061200Z AUTO 35003KT 10SM OVC036 M15/M18 A3005 RMK T11501180 MADISHFPKD,12:00
KHTL,ALGER MICHIGAN,KHTL 141900Z AUTO 18008KT 10SM FEW075 BKN095 BKN110 M01/M05 A2960 RMK T10101050 MADISHFHTL,19:00
KCXY,BERKS PENNSYLVANIA,KCXY 201030Z AUTO 00000KT 10SM BKN120 M01/M09 A3054 RMK T10101090 MADISHFCXY,10:30
KCMX,ONTONAGON MICHIGAN,KCMX 141700Z AUTO 14005KT 10SM SCT016 OVC041 M03/M08 A2954 RMK T10301080 MADISHFCMX,17:00
KHTL,ALGER MICHIGAN,KHTL 201200Z AUTO 12005KT 10SM OVC060 M08/M13 A3025 RMK T10801130 MADISHFHTL,12:00
KCMX,BARAGA MICHIGAN,KCMX 201200Z AUTO 19003KT 10SM CLR M13/M18 A3012 RMK T11301180 MADISHFCMX,12:00
KMNM,MENOMINEE MICHIGAN,KMNM 200700Z AUTO 00000KT 4SM HZ CLR M14/M17 A3036 RMK T11401170 MADISHFMNM,07:00
KJLN,SHERMAN KANSAS,KJLN 230450Z AUTO 13007KT 10SM OVC006 07/06 A2993 RMK T00700060 MADISHFJLN,04:45
KGLD,WALLACE KANSAS,KGLD 230400Z AUTO 09008KT 2SM BR OVC002 00/00 RMK T00000000 MADISHFGLD,04:00
KHLC,LOGAN KANSAS,KHLC 230500Z AUTO 06004KT 1/4SM FG VV002 00/00 A2989 RMK T00000000 MADISHFHLC,05:00
KICT,WICHITA KANSAS,KICT 230420Z AUTO 09003KT 3SM -RA BR BKN004 OVC009 04/04 A2990 RMK P0000 T00400040 MADISHFICT,04:15
KABE,NORTHAMPTON PENNSYLVANIA,KABE 112200Z AUTO 04005KT 10SM OVC070 02/M05 A3028 RMK T00201050 MADISHFABE,22:00
KCMX,BARAGA MICHIGAN,KCMX 040300Z AUTO 04011KT 10SM OVC006 M07/M09 A2982 RMK T10701090 CIG 5V10  MADISHFCMX,03:00
KCMX,ONTONAGON MICHIGAN,KCMX 040300Z AUTO 04011KT 10SM OVC006 M07/M09 A2982 RMK T10701090 CIG 5V10  MADISHFCMX,03:00
KMCI,HOLT MISSOURI,KMCI 192220Z AUTO 08015KT 10SM OVC110 M02/M07 A3019 RMK T10201070 MADISHFMCI,22:15
KLWD,WORTH MISSOURI,KLWD 192220Z AUTO 07008KT 10SM FEW079 FEW095 BKN120 M04/M08 A3028 RMK T10401080 MADISHFLWD,22:15
KHTL,ALGER MICHIGAN,KHTL 071400Z AUTO 10005KT 10SM OVC004 M06/M07 A2995 RMK T10601070 MADISHFHTL,14:00
KMFD,ASHLAND OHIO,KMFD 190900Z AUTO 04009KT 6SM BR OVC021 M03/M04 A3006 RMK T10301040 MADISHFMFD,09:00
KBKL,ERIE OHIO,KBKL 190900Z AUTO 06009KT 10SM BKN055 OVC070 M02/M05 A3014 RMK T10201050 MADISHFBKL,09:00
KLPR,LORAIN OHIO,KLPR 191000Z AUTO 05013KT 10SM BKN011 OVC029 M03/M06 A3012 RMK T10301060 MADISHFLPR,10:00
KAZO,OTSEGO MICHIGAN,KAZO 120900Z AUTO 08011KT 5SM -FZRA BR OVC009 M01/M03 A2978 RMK P0000 T10101030 CIG 7V12  MADISHFAZO,09:00
KAPN,ALPENA MICHIGAN,KAPN 120900Z AUTO 10014G23KT 10SM CLR M04/M09 A3013 RMK T10401090 MADISHFAPN,09:00
KHFD,HARTFORD CONNECTICUT,KHFD 031900Z AUTO 00000KT 10SM CLR 06/M07 A3005 RMK T00601070 MADISHFHFD,19:00
KIJD,TOLLAND CONNECTICUT,KIJD 031900Z AUTO 25002KT 10SM CLR 05/M07 A3004 RMK T00501070 MADISHFIJD,19:00
KIJD,WINDHAM CONNECTICUT,KIJD 031900Z AUTO 25002KT 10SM CLR 05/M07 A3004 RMK T00501070 MADISHFIJD,19:00
KIJD,TOLLAND CONNECTICUT,KIJD 230100Z AUTO 27009KT 10SM -RA SCT019 BKN028 OVC085 03/01 A2931 RMK T00300010 MADISHFIJD,01:00
KSLN,LINCOLN KANSAS,KSLN 022100Z AUTO 03015KT 10SM FEW024 OVC079 M02/M08 RMK T10201080 MADISHFSLN,21:00
KBKL,GEAUGA OHIO,KBKL 191000Z AUTO 05010KT 10SM BKN036 OVC110 M02/M05 A3013 RMK T10201050 MADISHFBKL,10:00
KBJJ,MEDINA OHIO,KBJJ 190900Z AUTO 08010KT 9SM OVC027 M02/M05 A3010 RMK T10201050 MADISHFBJJ,09:00
KSUE,LINCOLN WISCONSIN,KSUE 110300Z AUTO 04013KT 10SM OVC095 01/M07 A3013 RMK T00101070 MADISHFSUE,03:00
KSLN,BARTON KANSAS,KSLN 021910Z AUTO 01014KT 10SM BKN026 M02/M07 RMK T10201070 MADISHFSLN,19:05
KMBL,MANISTEE MICHIGAN,KMBL 120500Z AUTO 09014KT 10SM OVC016 M03/M06 A3007 RMK T10301060 MADISHFMBL,05:00
KTVC,WEXFORD MICHIGAN,KTVC 120500Z AUTO 09014KT 10SM OVC018 M03/M07 RMK T10301070 MADISHFTVC,05:00
KBJJ,HOLMES OHIO,KBJJ 190900Z AUTO 08010KT 9SM OVC027 M02/M05 A3010 RMK T10201050 MADISHFBJJ,09:00
KTDZ,PORTAGE OHIO,KTDZ 191000Z AUTO 06009KT 10SM BKN009 BKN014 OVC019 M03/M06 A3013 RMK T10301060 CIG 7V13  MADISHFTDZ,10:00
KMSN,VILAS WISCONSIN,KMSN 231800Z AUTO 07005KT 4SM BR OVC008 01/M01 A2988 RMK T00101010 MADISHFMSN,18:00
KGRB,ONEIDA WISCONSIN,KGRB 231800Z AUTO 34009KT 8SM BKN023 OVC037 02/M02 A2995 RMK T00201020 MADISHFGRB,18:00
KSUE,LINCOLN WISCONSIN,KSUE 231800Z AUTO 11017KT 10SM -RA FEW031 OVC045 01/M03 A2995 RMK T00101030 MADISHFSUE,18:00
KHTL,ROSCOMMON MICHIGAN,KHTL 120500Z AUTO 09016G22KT 10SM OVC014 M04/M08 A3013 RMK T10401080 MADISHFHTL,05:00
KHTL,OGEMAW MICHIGAN,KHTL 120500Z AUTO 09016G22KT 10SM OVC014 M04/M08 A3013 RMK T10401080 MADISHFHTL,05:00
KAZO,OTSEGO MICHIGAN,KAZO 280200Z AUTO 21004KT 10SM OVC029 M14/M18 A3006 RMK T11401180 MADISHFAZO,02:00
KAUW,MARATHON WISCONSIN,KAUW 231800Z AUTO 13012G19KT 10SM SCT019 OVC025 M01/M04 A2987 RMK T10101040 MADISHFAUW,18:00
KIMT,FLORENCE WISCONSIN,KIMT 231800Z AUTO 10009KT 4SM BR FEW013 FEW019 OVC046 M02/M03 RMK T10201030 MADISHFIMT,18:00
KHTL,GLADWIN MICHIGAN,KHTL 120500Z AUTO 09016G22KT 10SM OVC014 M04/M08 A3013 RMK T10401080 MADISHFHTL,05:00
KMBS,ARENAC MICHIGAN,KMBS 120500Z AUTO 08013KT 10SM OVC018 M04/M07 A3015 RMK T10401070 MADISHFMBS,05:00
KBOS,SUFFOLK MASSACHUSETTS,KBOS 032100Z AUTO 11011KT 10SM OVC050 03/M02 A3004 RMK T00301020 MADISHFBOS,21:00
KAPN,ALPENA MICHIGAN,KAPN 280500Z AUTO 24003KT 10SM CLR M27/M29 A3009 RMK T12701290 MADISHFAPN,05:00
KOSH,WINNEBAGO WISCONSIN,KOSH 231800Z AUTO 01006KT 5SM BR BKN013 OVC019 01/M02 A2990 RMK T00101020 MADISHFOSH,18:00
KAUW,MARATHON WISCONSIN,KAUW 101600Z AUTO 06014G19KT 10SM OVC027 01/M06 A3007 RMK T00101060 MADISHFAUW,16:00
KCXY,BERKS PENNSYLVANIA,KCXY 031500Z AUTO 00000KT 10SM SCT050 OVC065 02/M06 A3013 RMK T00201060 MADISHFCXY,15:00
KLPR,SANDUSKY OHIO,KLPR 190900Z AUTO 06013KT 10SM FEW011 OVC030 M02/M06 A3012 RMK T10201060 MADISHFLPR,09:00
KYNG,MAHONING OHIO,KYNG 191100Z AUTO 05006KT 10SM FEW009 OVC028 M03/M05 A3011 RMK T10301050 MADISHFYNG,11:00
KMFD,LUCAS OHIO,KMFD 190800Z AUTO 06009KT 6SM BR OVC022 M02/M04 A3009 RMK T10201040 MADISHFMFD,08:00
KABE,NORTHAMPTON PENNSYLVANIA,KABE 031600Z AUTO 00000KT 10SM SCT070 03/M06 A3012 RMK T00301060 MADISHFABE,16:00
KMGY,MORROW OHIO,KMGY 190800Z AUTO 08008KT 9SM OVC022 02/M02 A3000 RMK T00201020 MADISHFMGY,08:00
KMNN,MARION OHIO,KMNN 190800Z AUTO 08011KT 7SM OVC024 M01/M04 A3010 RMK T10101040 MADISHFMNN,08:00
KHZY,TRUMBULL OHIO,KHZY 191100Z AUTO 07004KT 1SM -SN BR VV014 M04/M05 A3015 RMK T10401050 MADISHFHZY,11:00
KFDY,HANCOCK OHIO,KFDY 190800Z AUTO 06013KT 10SM OVC025 M01/M05 A3012 RMK T10101050 MADISHFFDY,08:00
KMSN,VILAS WISCONSIN,KMSN 110600Z AUTO 08017KT 10SM OVC011 01/M01 A2990 RMK T00101010 CIG 9V15  MADISHFMSN,06:00
KMGW,CUMBERLAND PENNSYLVANIA,KMGW 031500Z AUTO 01005KT 8SM SCT033 OVC041 01/M02 A3004 RMK T00101020 MADISHFMGW,15:00
KCXY,DAUPHIN PENNSYLVANIA,KCXY 031500Z AUTO 00000KT 10SM SCT050 OVC065 02/M06 A3013 RMK T00201060 MADISHFCXY,15:00
KMPO,LEHIGH PENNSYLVANIA,KMPO 031600Z AUTO 00000KT 10SM FEW100 00/M08 A3004 RMK T00001080 MADISHFMPO,16:00
KLNS,LANCASTER PENNSYLVANIA,KLNS 031500Z AUTO 01004KT 10SM BKN055 OVC070 03/M04 A3013 RMK T00301040 MADISHFLNS,15:00
KRDG,SCHUYLKILL PENNSYLVANIA,KRDG 031500Z AUTO 36005KT 10SM OVC079 02/M04 A3013 RMK T00201040 MADISHFRDG,15:00
KTHV,YORK PENNSYLVANIA,KTHV 031500Z AUTO 05002KT 10SM FEW036 BKN044 OVC065 02/M04 A3013 RMK T00201040 MADISHFTHV,15:00
KHZY,ASHTABULA OHIO,KHZY 191200Z AUTO 07006KT 4SM -SN BR BKN038 BKN085 OVC120 M04/M06 A3014 RMK T10401060 MADISHFHZY,12:00
KMNN,WYANDOT OHIO,KMNN 190800Z AUTO 08011KT 7SM OVC024 M01/M04 A3010 RMK T10101040 MADISHFMNN,08:00
KLPR,HURON OHIO,KLPR 190900Z AUTO 06013KT 10SM FEW011 OVC030 M02/M06 A3012 RMK T10201060 MADISHFLPR,09:00
KAZO,OTSEGO MICHIGAN,KAZO 070800Z AUTO 09004KT 4SM -RA BR OVC004 01/00 A2995 RMK T00100000 MADISHFAZO,08:00
KHTL,ROSCOMMON MICHIGAN,KHTL 070800Z AUTO 08008KT 10SM OVC008 M06/M07 A3001 RMK T10601070 MADISHFHTL,08:00
KAPN,ALPENA MICHIGAN,KAPN 070800Z AUTO 00000KT 10SM OVC009 M07/M08 A3010 RMK T10701080 MADISHFAPN,08:00
KBTV,ESSEX VERMONT,KBTV 220200Z AUTO 18004KT 8SM -RA BKN026 OVC049 04/02 A2987 RMK P0000 T00400020 MADISHFBTV,02:00
KAPN,ALPENA MICHIGAN,KAPN 070800Z AUTO 00000KT 10SM OVC009 M07/M08 A3010 RMK T10701080 MADISHFAPN,08:00
KMSN,DOOR WISCONSIN,KMSN 110300Z AUTO 07014KT 10SM -DZ OVC008 01/M01 A2996 RMK T00101010 MADISHFMSN,03:00
KMPV,WASHINGTON VERMONT,KMPV 220100Z AUTO 17008KT 10SM UP FEW009 OVC046 02/01 RMK P0000 T00200010 MADISHFMPV,01:00
KMPV,ORANGE VERMONT,KMPV 220100Z AUTO 17008KT 10SM UP FEW009 OVC046 02/01 RMK P0000 T00200010 MADISHFMPV,01:00
KAZO,OTSEGO MICHIGAN,KAZO 290500Z AUTO 29006KT 1SM -SN BR VV012 M07/M08 A2968 RMK T10701080 MADISHFAZO,05:00
KMBL,MANISTEE MICHIGAN,KMBL 290500Z AUTO 01007KT 9SM -SN OVC036 M14/M17 A2970 RMK T11401170 MADISHFMBL,05:00
KVSF,WINDSOR VERMONT,KVSF 220100Z AUTO 00000KT 8SM FEW046 OVC055 02/02 A2993 RMK T00200020 MADISHFVSF,01:00
KCMX,ONTONAGON MICHIGAN,KCMX 111100Z AUTO 09013KT 10SM M02/M08 A3019 RMK T10201080 MADISHFCMX,11:00
KCMX,KEWEENAW MICHIGAN,KCMX 111700Z AUTO 09014G24KT 10SM OVC009 M02/M06 A3013 RMK T10201060 MADISHFCMX,17:00
KCMX,BARAGA MICHIGAN,KCMX 111500Z AUTO 09015G21KT 10SM OVC013 M02/M06 A3018 RMK T10201060 MADISHFCMX,15:00
KHIB,STEVENS MINNESOTA,KHIB 090800Z AUTO 13005KT 6SM BR SCT015 M07/M09 A2993 RMK T10701090 MADISHFHIB,08:00
KGRB,ONEIDA WISCONSIN,KGRB 110600Z AUTO 04011KT 8SM -SN OVC032 01/M04 A3010 RMK T00101040 MADISHFGRB,06:00
KGCC,WESTON WYOMING,KGCC 130600Z AUTO 36002KT 10SM CLR M02/M03 A2954 RMK T10201030 MADISHFGCC,06:00
KEAU,CHIPPEWA WISCONSIN,KEAU 091700Z AUTO ///19KT 9SM CLR 02/M04 A2971 RMK T00201040 MADISHFEAU,17:00
KMNM,MENOMINEE MICHIGAN,KMNM 110600Z AUTO 07016KT 10SM OVC110 00/M06 A3014 RMK T00001060 MADISHFMNM,06:00
KIMT,FLORENCE WISCONSIN,KIMT 110600Z AUTO 05005KT 10SM CLR M01/M09 RMK T10101090 MADISHFIMT,06:00
KRWF,REDWOOD MINNESOTA,KRWF 090600Z AUTO 13019KT 3SM BR OVC004 M02/M02 A2987 RMK T10201020 MADISHFRWF,06:00
KJLN,FRANKLIN KANSAS,KJLN 112200Z AUTO 12011KT 3SM -RA BR BKN008 BKN019 OVC027 03/02 A3004 RMK T00300020 MADISHFJLN,22:00
KFOE,OSAGE KANSAS,KFOE 112200Z AUTO 09006KT 6SM -RA BR OVC004 02/01 A3004 RMK P0000 T00200010 MADISHFFOE,22:00
KLSE,TREMPEALEAU WISCONSIN,KLSE 101130Z AUTO 09005KT 10SM CLR A3004 RMK MADISHFLSE,11:30
KSET,KANE ILLINOIS,KSET 270900Z AUTO 11004KT 10SM CLR 12/09 A2994 RMK T01200090 MADISHFSET,09:00
KENW,KENOSHA WISCONSIN,KENW 140900Z AUTO 06010KT 10SM FEW120 02/M01 A2993 RMK T00201010 MADISHFENW,09:00
KJLN,FRANKLIN KANSAS,KJLN 062000Z AUTO 02005KT 1/4SM FG VV003 03/02 A2984 RMK T00300020 MADISHFJLN,20:00
KRAC,RACINE WISCONSIN,KRAC 141000Z AUTO 05011KT 10SM CLR 02/M02 A2994 RMK T00201020 MADISHFRAC,10:00
KOFK,MADISON NEBRASKA,KOFK 140400Z AUTO 10008KT 10SM -RA FEW028 OVC047 08/08 A2905 RMK T00800080 MADISHFOFK,04:00
KOFK,PIERCE NEBRASKA,KOFK 140400Z AUTO 10008KT 10SM -RA FEW028 OVC047 08/08 A2905 RMK T00800080 MADISHFOFK,04:00
KEAU,CHIPPEWA WISCONSIN,KEAU 101400Z AUTO 08011KT 10SM OVC019 00/M05 A3009 RMK T00001050 MADISHFEAU,14:00
KEAU,DUNN WISCONSIN,KEAU 101400Z AUTO 08011KT 10SM OVC019 00/M05 A3009 RMK T00001050 MADISHFEAU,14:00
KMSN,PIERCE WISCONSIN,KMSN 101200Z AUTO 07010KT 10SM BKN028 01/M03 A3003 RMK T00101030 MADISHFMSN,12:00
KMKT,NICOLLET MINNESOTA,KMKT 100800Z AUTO 07014KT 10SM OVC085 01/M06 A3001 RMK T00101060 MADISHFMKT,08:00
KFCM,CARVER MINNESOTA,KFCM 101030Z AUTO 07010KT 10SM CLR M01/M07 A3001 RMK T10101070 MADISHFFCM,10:30
KHIB,SCOTT MINNESOTA,KHIB 101030Z AUTO 08005KT 10SM OVC023 M03/M07 A3011 RMK T10301070 MADISHFHIB,10:30
KLSE,DAKOTA MINNESOTA,KLSE 101100Z AUTO 12002KT 10SM CLR A3003 RMK VRB03KT  MADISHFLSE,11:00
KRWF,REDWOOD MINNESOTA,KRWF 100600Z AUTO 07010G15KT 10SM OVC095 02/M04 A3002 RMK T00201040 MADISHFRWF,06:00
KFNB,DAWSON NEBRASKA,KFNB 102100Z AUTO 15013KT 10SM CLR 26/11 A2931 RMK T02600110 MADISHFFNB,21:00
KUGN,MCHENRY ILLINOIS,KUGN 140630Z AUTO /////KT A3000 RMK MADISHFUGN,06:30
KSET,KANE ILLINOIS,KSET 140550Z AUTO 04013KT 5SM RA BR SCT016 BKN024 OVC055 06/04 A2988 RMK P0009 T00600040 MADISHFSET,05:45
KJST,CAMBRIA PENNSYLVANIA,KJST 200600Z AUTO 13004KT 10SM CLR M05/M12 A3038 RMK T10501120 MADISHFJST,06:00
KAOO,BEDFORD PENNSYLVANIA,KAOO 200600Z AUTO 00000KT 10SM CLR M04/M11 A3047 RMK T10401110 MADISHFAOO,06:00
KAGC,FULTON PENNSYLVANIA,KAGC 200600Z AUTO 06003KT 10SM CLR M03/M10 A3039 RMK T10301100 MADISHFAGC,06:00
KFFT,BALLARD KENTUCKY,KFFT 151600Z AUTO 29006KT 10SM CLR 06/00 A2984 RMK T00600000 MADISHFFFT,16:00
KALO,BUTLER IOWA,KALO 192200Z AUTO 09008KT 10SM FEW110 M08/M12 A3038 RMK T10801120 MADISHFALO,22:00
KMIW,GRUNDY IOWA,KMIW 111600Z AUTO ///17KT 5SM BR OVC008 M04/M05 A3004 RMK T10401050 MADISHFMIW,16:00
KMSN,PIERCE WISCONSIN,KMSN 112300Z AUTO 09013KT 5SM BR OVC009 M03/M04 A3007 RMK T10301040 MADISHFMSN,23:00
KAOO,HUNTINGDON PENNSYLVANIA,KAOO 200600Z AUTO 00000KT 10SM CLR M04/M11 A3047 RMK T10401110 MADISHFAOO,06:00
KMGW,CUMBERLAND PENNSYLVANIA,KMGW 200700Z AUTO 33003KT 10SM OVC090 M01/M08 A3037 RMK T10101080 MADISHFMGW,07:00
KLEX,CARLISLE KENTUCKY,KLEX 151700Z AUTO 27011KT 10SM CLR 07/M01 A2985 RMK T00701010 MADISHFLEX,17:00
KALO,BREMER IOWA,KALO 192200Z AUTO 09008KT 10SM FEW110 M08/M12 A3038 RMK T10801120 MADISHFALO,22:00
KCHO,WARREN VIRGINIA,KCHO 102100Z AUTO 17006KT 10SM OVC090 04/M11 A3045 RMK T00401110 MADISHFCHO,21:00
KTHV,YORK PENNSYLVANIA,KTHV 200700Z AUTO 00000KT 10SM CLR M02/M08 A3057 RMK T10201080 MADISHFTHV,07:00
KDYR,HICKMAN KENTUCKY,KDYR 151700Z AUTO 03010KT 10SM -RA FEW050 SCT085 04/M01 A2996 RMK T00401010 MADISHFDYR,17:00
KPAH,FULTON KENTUCKY,KPAH 151800Z AUTO 36008KT 10SM UP OVC070 02/M04 A2998 RMK P0000 T00201040 MADISHFPAH,18:00
KALO,BUTLER IOWA,KALO 111800Z AUTO 10016KT 3SM BR OVC007 M02/M04 A3004 RMK T10201040 MADISHFALO,18:00
KALO,BREMER IOWA,KALO 111800Z AUTO 10016KT 3SM BR OVC007 M02/M04 A3004 RMK T10201040 MADISHFALO,18:00
KLYH,AMHERST VIRGINIA,KLYH 200130Z AUTO 11005KT 10SM SCT120 04/M03 A3054 RMK T00401030 MADISHFLYH,01:30
KJST,SOMERSET PENNSYLVANIA,KJST 200600Z AUTO 13004KT 10SM CLR M05/M12 A3038 RMK T10501120 MADISHFJST,06:00
KMKT,NICOLLET MINNESOTA,KMKT 200100Z AUTO 14007KT 10SM SCT090 OVC110 M11/M14 A3038 RMK T11101140 MADISHFMKT,01:00
